study_order,target,target_side,trial_type,trial_number
e1,Bear,l,Single,1
e1,Sheep,l,Mixed,2
e1,Dog,r,Single,3
e1,Bunny,r,Mixed,4
e1,Sheep,r,Single,5
e1,Cow,r,Mixed,6
e1,Dog,l,Mixed,7
e1,Bear,r,Mixed,8
e1,Froggy,l,Single,9
e1,Froggy,r,Mixed,10
e1,Bunny,l,Single,11
e1,Duck,l,Mixed,12
e1,Butterfly,l,Single,13
e1,Duck,r,Single,14
e1,Butterfly,r,Mixed,15
e1,Cow,l,Single,16
e2,Bear,r,Single,1
e2,Sheep,r,Mixed,2
e2,Dog,l,Single,3
e2,Bunny,l,Mixed,4
e2,Sheep,l,Single,5
e2,Cow,l,Mixed,6
e2,Dog,r,Mixed,7
e2,Bear,l,Mixed,8
e2,Froggy,r,Single,9
e2,Froggy,l,Mixed,10
e2,Bunny,r,Single,11
e2,Duck,r,Mixed,12
e2,Butterfly,r,Single,13
e2,Duck,l,Single,14
e2,Butterfly,l,Mixed,15
e2,Cow,r,Single,16
s1,Bear,l,Single,1
s1,Sheep,l,Mixed,2
s1,Dog,r,Single,3
s1,Bunny,r,Mixed,4
s1,Sheep,r,Single,5
s1,Cow,r,Mixed,6
s1,Dog,l,Mixed,7
s1,Bear,r,Mixed,8
s1,Froggy,l,Single,9
s1,Froggy,r,Mixed,10
s1,Bunny,l,Single,11
s1,Duck,l,Mixed,12
s1,Butterfly,l,Single,13
s1,Duck,r,Single,14
s1,Butterfly,r,Mixed,15
s1,Cow,l,Single,16
s2,Bear,r,Single,1
s2,Sheep,r,Mixed,2
s2,Dog,l,Single,3
s2,Bunny,l,Mixed,4
s2,Sheep,l,Single,5
s2,Cow,l,Mixed,6
s2,Dog,r,Mixed,7
s2,Bear,l,Mixed,8
s2,Froggy,r,Single,9
s2,Froggy,l,Mixed,10
s2,Bunny,r,Single,11
s2,Duck,r,Mixed,12
s2,Butterfly,r,Single,13
s2,Duck,l,Single,14
s2,Butterfly,l,Mixed,15
s2,Cow,r,Single,16
