column,column_type,range,level_values,description
Sub.Num,numeric,1 – 34,,Identifier for individual participants
Months,numeric,36 – 49,,Participant age in months
Sex,character,,"F, M",Participant sex
Order,character,,,Indicates study order presented to participant
Tr.Num,numeric,3 – 24,,"Index of trial, increases by 1 for each subsequent trial"
Prescreen.Notes,character,,,Researcher notes
L.image,character,,"Bear, Sheep, Bunny, Dog, Froggy, Duck, Cow, Butterfly",Indicates image shown on left-hand side of screen
C.Image,character,,,Indicates image shown in central screen area (not used)
R.image,character,,"Duck, Butterfly, Dog, Bunny, Cow, Bear, Froggy, Sheep",Indicates image shown on right-hand side of sreen
Target.Side,character,,"l, r","Indicates side of screen target appears, l = Left, r = Right"
Target.Image,character,,"Bear, Sheep, Dog, Bunny, Cow, Froggy, Duck, Butterfly",Indicates target image
Condition,character,,"Single, Switch","Indicates type of trial, mixed-language or single-language"
Response,character,,"D, T, A","Indicates participant's response, D = Looking at Distractor, T = Looking at Target, A = Looking Away"
First.Shift.Gap,numeric,1 – 47,,Duration of first shift (in # of frames) from distracter to target or from target to distracter
RT,numeric,33 – 2400,,Indicates participant's reaction time in ms
CritOnSet,numeric,3000 – 3100,,Onset in ms of noun
CritOffSet,numeric,4000 – 4000,,Offset in ms of noun
X.3100,integer,0 – 1,,"Time window start, in ms"
X.3067,integer,0 – 1,,"Time window start, in ms"
X.3033,integer,0 – 1,,"Time window start, in ms"
X.3000,integer,0 – 1,,"Time window start, in ms"
X.2967,integer,0 – 1,,"Time window start, in ms"
X.2933,integer,0 – 1,,"Time window start, in ms"
X.2900,integer,0 – 1,,"Time window start, in ms"
X.2867,integer,0 – 1,,"Time window start, in ms"
X.2833,integer,0 – 1,,"Time window start, in ms"
X.2800,integer,0 – 1,,"Time window start, in ms"
X.2767,integer,0 – 1,,"Time window start, in ms"
X.2733,integer,0 – 1,,"Time window start, in ms"
X.2700,integer,0 – 1,,"Time window start, in ms"
X.2667,integer,0 – 1,,"Time window start, in ms"
X.2633,integer,0 – 1,,"Time window start, in ms"
X.2600,integer,0 – 1,,"Time window start, in ms"
X.2567,integer,0 – 1,,"Time window start, in ms"
X.2533,integer,0 – 1,,"Time window start, in ms"
X.2500,integer,0 – 1,,"Time window start, in ms"
X.2467,integer,0 – 1,,"Time window start, in ms"
X.2433,integer,0 – 1,,"Time window start, in ms"
X.2400,integer,0 – 1,,"Time window start, in ms"
X.2367,integer,0 – 1,,"Time window start, in ms"
X.2333,integer,0 – 1,,"Time window start, in ms"
X.2300,integer,0 – 1,,"Time window start, in ms"
X.2267,integer,0 – 1,,"Time window start, in ms"
