column,column_type,range,level_values,description
Sub Num,numeric,1 – 34,,Identifier for individual participants
Months,numeric,36 – 49,,Participant age in months
Sex,character,,"F, M",Participant sex
Order,character,,,Indicates study order presented to participant
Tr Num,numeric,1 – 16,,"Index of trial, increases by 1 for each subsequent trial"
Prescreen Notes,logical,,,Researcher notes
L-image,character,,"Dog, Fish, Bunny, Walem, Teelo",Indicates image shown on left-hand side of screen
C-Image,logical,,,Indicates image shown in central screen area (not used)
R-image,character,,"Bunny, Dog, Fish, Teelo, Walem",Indicates image shown on right-hand side of sreen
Target Side,character,,"l, r","Indicates side of screen target appears, l = Left, r = Right"
Target Image,character,,"Dog, Bunny, Fish, Walem, Teelo",Indicates target image
Condition,character,,"Single, Mixed","Indicates type of trial, mixed-language or single-language"
Response,character,,"T, A, D","Indicates participant's response, D = Looking at Distractor, T = Looking at Target, A = Looking Away"
First Shift Gap,numeric,1 – 67,,Duration of first shift (in # of frames) from distracter to target or from target to distracter
RT,numeric,33 – 3267,,Indicates participant's reaction time in ms
CritOnSet,numeric,3000 – 4600,,Onset in ms of noun
CritOffSet,numeric,4500 – 5500,,Offset in ms of noun
...18,integer,0 – 1,,Time window index
...19,integer,0 – 1,,Time window index
...20,integer,0 – 1,,Time window index
...21,integer,0 – 1,,Time window index
...22,integer,0 – 1,,Time window index
...23,integer,0 – 1,,Time window index
...24,integer,0 – 1,,Time window index
...25,integer,0 – 1,,Time window index
...26,integer,0 – 1,,Time window index
...27,integer,0 – 1,,Time window index
...28,integer,0 – 1,,Time window index
...29,integer,0 – 1,,Time window index
...30,integer,0 – 1,,Time window index
...31,integer,0 – 1,,Time window index
...32,integer,0 – 1,,Time window index
...33,integer,0 – 1,,Time window index
...34,integer,0 – 1,,Time window index
...35,integer,0 – 1,,Time window index
...36,integer,0 – 1,,Time window index
...37,integer,0 – 1,,Time window index
...38,integer,0 – 1,,Time window index
...39,integer,0 – 1,,Time window index
...40,integer,0 – 1,,Time window index
...41,integer,0 – 1,,Time window index
...42,integer,0 – 1,,Time window index
...43,integer,0 – 1,,Time window index
...44,integer,0 – 1,,Time window index
...45,integer,0 – 1,,Time window index
...46,integer,0 – 1,,Time window index
...47,integer,0 – 1,,Time window index
...48,integer,0 – 1,,Time window index
...49,integer,0 – 1,,Time window index
...50,integer,0 – 1,,Time window index
...51,integer,0 – 1,,Time window index
...52,integer,0 – 1,,Time window index
...53,integer,0 – 1,,Time window index
...54,integer,0 – 1,,Time window index
...55,integer,0 – 1,,Time window index
...56,integer,0 – 1,,Time window index
...57,integer,0 – 1,,Time window index
...58,integer,0 – 1,,Time window index
