column,column_type,range,level_values,description,,,
study_id,character,,,Identifier for individual participants,,,
trial_type,character,,"Mixed, Single",Indicates whether trial is mixed-language or single-language,,,
study_lang_dom,character,,"dom, non",Indicates whether trial was presented in participant's dominant or non-dominant language,,,
testing_location,character,,"Princeton, Montreal",Where participants were tested,,,"Index of trial, increases by 1 for each subsequent trial"
trial_number,integer,1 – 16,,"Index of trial, increases by 1 for each subsequent trial",,,
edu_years,integer,4 – 21,,Parental education in number of years,,,
vocab_total,integer,31 – 308,,Total number of vocabulary words known by participant in all langauges,,,
lang_mix,integer,0 – 30,,Participant's language mixing score,,,
TimeBin,integer,4 – 19,,"Index of time bin, increases by 1 for each subsequent time bin",,,
SamplesInAOI,integer,0 – 6,,Number of eyetracker samples where the gaze was detected to be within the area of interest within time window,,,
SamplesTotal,integer,0 – 6,,Total number of eyetracker samples within time window,,,
AOI,character,,"target_look, distractor_look",Area of interest; labels the target area on the display being analyzed,,,
Elog,numeric,-2.56494935746154 – 2.56494935746154,,Corrected logit transformation calculated by eyetrackingr package,,,
Weights,numeric,0.375 – 1.75,,Sample weights per time window calculated by eyetrackingr package to further correct Elog values,,,
Prop,numeric,0 – 1,,"Proportion of gaze samples within the area of interest for the time window, as calculated by eyetrackingr package",,,
LogitAdjusted,numeric,-2.39789527279837 – 2.39789527279837,,Corrected logit transformation calculated by eyetrackingr package,,,
ArcSin,numeric,0 – 1.5707963267949,,"Arcsine root transformation of raw proportions, as calculated by eyetrackingr package",,,
Time,integer,400 – 1900,,"Time in trial, in ms",,,
ot1,numeric,-0.40674460840998 – 0.40674460840998,,"Centred orthogonal time polynomial, calculated by eyetrackingr package",,,
ot2,numeric,-0.277859465113106 – 0.463099108521843,,"Centred orthogonal time polynomial, calculated by eyetrackingr package",,,
ot3,numeric,-0.453244808633422 – 0.453244808633422,,"Centred orthogonal time polynomial, calculated by eyetrackingr package",,,
ot4,numeric,-0.322262910460771 – 0.398089477628011,,"Centred orthogonal time polynomial, calculated by eyetrackingr package",,,
ot5,numeric,-0.318524235088154 – 0.318524235088154,,"Centred orthogonal time polynomial, calculated by eyetrackingr package",,,
ot6,numeric,-0.4202221880226 – 0.312472909042446,,"Centred orthogonal time polynomial, calculated by eyetrackingr package",,,
ot7,numeric,-0.428775895241661 – 0.42877589524166,,"Centred orthogonal time polynomial, calculated by eyetrackingr package",,,
time_from_zero,integer,-2600 – -1100,,"Time in trial, relative to time zero, in ms",,,
