study_id,trial_type,study_lang_dom,edu_years,vocab_total,lang_mix,testing_location,Prop
1,Mixed,dom,11,96,0,Princeton,0.9049689440993789
1,Single,dom,11,96,0,Princeton,0.8231837606837606
10,Mixed,dom,6,138,6,Princeton,0.7235771289415442
10,Single,dom,6,138,6,Princeton,0.549565003159913
11,Mixed,dom,12,31,25,Princeton,0.6821357264908599
11,Single,dom,12,31,25,Princeton,0.6700937950937951
13,Mixed,non,12,104,14,Princeton,0.6958336963656113
13,Single,non,12,104,14,Princeton,0.6926602986385595
21,Mixed,non,17,90,9,Princeton,0.7217391304347825
21,Single,non,17,90,9,Princeton,0.7496706192358367
27,Mixed,non,12,63,17,Princeton,0.75
27,Single,non,12,63,17,Princeton,0.46808510638297873
28,Mixed,non,11,60,17,Princeton,0.8309206192358366
28,Single,non,11,60,17,Princeton,0.539071878202313
3,Mixed,non,18,78,18,Princeton,0.7618089268409902
3,Single,non,18,78,18,Princeton,0.605520544249152
30,Mixed,non,18,55,1,Princeton,0.5361989459815547
30,Single,non,18,55,1,Princeton,0.7670807453416149
31,Mixed,dom,20,121,26,Princeton,0.8971704510051863
31,Single,dom,20,121,26,Princeton,0.6892177589852009
4,Mixed,dom,4,120,30,Princeton,0.9813664596273292
4,Single,dom,4,120,30,Princeton,0.8871558548977904
S01,Mixed,dom,16,101,21,Montreal,0.7769157479243228
S01,Single,dom,16,101,21,Montreal,0.6017934051744044
S03,Mixed,dom,16,126,14,Montreal,0.8191749359121493
S03,Single,dom,16,126,14,Montreal,0.8582148611636566
S04,Mixed,dom,16,64,14,Montreal,0.795497387084733
S04,Single,dom,16,64,14,Montreal,0.8661654135338346
S05,Mixed,dom,21,125,11,Montreal,0.6837195269771329
S05,Single,dom,21,125,11,Montreal,0.7917348665787388
S06,Mixed,non,15,174,11,Montreal,0.8550462176947746
S06,Single,non,15,174,11,Montreal,0.721965494578312
S07,Mixed,dom,18,160,4,Montreal,0.7701076868919611
S07,Single,dom,18,160,4,Montreal,0.7655913187682678
S11,Mixed,dom,15,151,17,Montreal,0.7693452269152034
S11,Single,dom,15,151,17,Montreal,0.7553962425986214
S13,Mixed,dom,18,NA,6,Montreal,0.7503707514905723
S13,Single,dom,18,NA,6,Montreal,0.620343460372183
S14,Mixed,dom,16,162,5,Montreal,0.738399626121549
S14,Single,dom,16,162,5,Montreal,0.756480350182745
S17,Mixed,non,18,86,4,Montreal,0.8734556842387394
S17,Single,non,18,86,4,Montreal,0.7662857353034995
S20,Mixed,non,16,134,21,Montreal,0.8312840315098493
S20,Single,non,16,134,21,Montreal,0.7007753639106471
S21,Mixed,non,15,308,28,Montreal,0.7893622049421638
S21,Single,non,15,308,28,Montreal,0.888757285788702
S22,Mixed,dom,18,66,24,Montreal,0.9078014184397163
S22,Single,dom,18,66,24,Montreal,0.8500160834481537
S24,Mixed,non,16,91,12,Montreal,0.6288009670390722
S24,Single,non,16,91,12,Montreal,0.756538084341288
S25,Mixed,dom,21,162,7,Montreal,0.9149088611438574
S25,Single,dom,21,162,7,Montreal,0.9315476190476191
S26,Mixed,non,13,88,15,Montreal,0.8829235880398671
S26,Single,non,13,88,15,Montreal,0.7577780476472079
S27,Mixed,non,18,138,15,Montreal,0.8974358974358975
S27,Single,non,18,138,15,Montreal,0.8790967502556768
S28,Mixed,non,13,39,20,Montreal,0.34371516164994426
S28,Single,non,13,39,20,Montreal,0.650263533592201
S29,Mixed,non,16,69,7,Montreal,0.7732456140350877
S29,Single,non,16,69,7,Montreal,0.8111785447661708
