study_id,testing_location,trial_type,value
1,Princeton,Single,6
1,Princeton,Mixed,7
10,Princeton,Single,5
10,Princeton,Mixed,8
11,Princeton,Single,6
11,Princeton,Mixed,7
13,Princeton,Single,8
13,Princeton,Mixed,6
21,Princeton,Single,3
21,Princeton,Mixed,5
27,Princeton,Single,3
27,Princeton,Mixed,4
28,Princeton,Single,8
28,Princeton,Mixed,8
3,Princeton,Single,6
3,Princeton,Mixed,7
30,Princeton,Single,7
30,Princeton,Mixed,6
31,Princeton,Single,6
31,Princeton,Mixed,6
4,Princeton,Single,7
4,Princeton,Mixed,7
S01,Montreal,Single,6
S01,Montreal,Mixed,6
S03,Montreal,Single,8
S03,Montreal,Mixed,8
S04,Montreal,Single,7
S04,Montreal,Mixed,7
S05,Montreal,Single,8
S05,Montreal,Mixed,8
S06,Montreal,Single,6
S06,Montreal,Mixed,6
S07,Montreal,Single,8
S07,Montreal,Mixed,8
S11,Montreal,Single,8
S11,Montreal,Mixed,8
S13,Montreal,Single,8
S13,Montreal,Mixed,6
S14,Montreal,Single,8
S14,Montreal,Mixed,8
S17,Montreal,Single,8
S17,Montreal,Mixed,8
S20,Montreal,Single,8
S20,Montreal,Mixed,8
S21,Montreal,Single,8
S21,Montreal,Mixed,6
S22,Montreal,Single,7
S22,Montreal,Mixed,6
S24,Montreal,Single,7
S24,Montreal,Mixed,8
S25,Montreal,Single,8
S25,Montreal,Mixed,8
S26,Montreal,Single,7
S26,Montreal,Mixed,5
S27,Montreal,Single,7
S27,Montreal,Mixed,5
S28,Montreal,Single,7
S28,Montreal,Mixed,4
S29,Montreal,Single,7
S29,Montreal,Mixed,5
