study_id,gender,age_years,study_language,prof_eng,prof_o,aoa_en,aoa_o,child_dom_lang,study_lang_dom,vocab_dom,vocab_non_dom,vocab_total,lang_mix,edu_years,testing_location,ethnicity
S01,female,3.830253251,French,9,10,10,0,French,dom,44,57,101,21,16,Montreal,Quebecois
S03,male,3.54825462,English,10,8,0,0,English,dom,82,44,126,14,16,Montreal,European
S04,male,3.266255989,French,8,10,12,0,French,dom,45,19,64,14,16,Montreal,European
S05,male,3.841204654,English,10,9,0,10,English,dom,74,51,125,11,21,Montreal,Canadian
S06,female,3.641341547,English,10,10,0,0,French,non,88,86,174,11,15,Montreal,European
S07,male,3.389459274,English,10,10,0,0,English,dom,86,74,160,4,18,Montreal,European
S11,female,3.882272416,English,10,8,0,6,English,dom,96,55,151,17,15,Montreal,European
S13,male,3.321013005,French,8,10,18,0,French,dom,NA,NA,NA,6,18,Montreal,Caribbean
S14,male,3.178644764,English,10,10,0,0,English,dom,102,60,162,5,16,Montreal,European
S17,male,3.20054757,French,10,10,0,0,English,non,67,19,86,4,18,Montreal,European
S20,male,3.994524298,English,8,10,8,0,French,non,102,32,134,21,16,Montreal,European
S21,male,3.101984942,French,10,10,0,0,English,non,177,131,308,28,15,Montreal,NA
S22,male,3.578370979,French,7,9,0,11,French,dom,43,23,66,24,18,Montreal,Arab
S24,female,3.414099932,French,10,8,0,9,English,non,64,27,91,12,16,Montreal,Canadian
S25,female,3.09650924,French,8,10,0,0,French,dom,90,72,162,7,21,Montreal,European
S26,male,3.622176591,English,8,10,11,0,French,non,52,36,88,15,13,Montreal,NA
S27,female,3.586584531,French,10,7,0,0,English,non,95,43,138,15,18,Montreal,European
S28,male,3.178644764,French,9,9,0,12,English,non,37,2,39,20,13,Montreal,Caribbean
S29,female,3.321013005,English,8,10,9,0,French,non,39,30,69,7,16,Montreal,NA
1,female,4.046543463,English,8.5,8,12,0,English,dom,43,53,96,0,11,Princeton,Hispanic
3,female,3.728952772,Spanish,10,10,2,0,English,non,69,9,78,18,18,Princeton,Hispanic
4,male,3.904175222,Spanish,7,10,18,0,Spanish,dom,69,51,120,30,4,Princeton,Hispanic
10,female,3.761806982,English,10,10,14,0,English,dom,107,31,138,6,6,Princeton,Hispanic
11,male,3.550992471,Spanish,7,10,36,0,Spanish,dom,24,7,31,25,12,Princeton,Hispanic
27,male,3.518138261,Spanish,9,7,0,0,English,non,61,2,63,17,12,Princeton,Mix
28,male,3.518138261,Spanish,10,10,12,0,English,non,37,23,60,17,11,Princeton,Hispanic
13,female,4.027378508,Spanish,9,9,12,0,English,non,60,44,104,14,12,Princeton,Hispanic
21,female,3.939767283,Spanish,10,8,0,0,English,non,84,6,90,9,17,Princeton,Hispanic
30,female,3.192334018,Spanish,10,10,0,0,English,non,36,19,55,1,18,Princeton,Black
31,female,4.043805613,English,10,10,0,0,English,dom,96,25,121,26,20,Princeton,White
