study_group,study_id,recording_name,test_date,study_order_comp,study_order_learn,first_study,study_language,order_seen,years,months,days,prof_eng,prof_fr,prof_other,dom_lang,child_dom_lang,aoa_en,aoa_fr,vocab_eng,vocab_fr,vocab_total,vocab_te,vocab_concept,lang_mix,gender,keeper,exclusion,exclusion_details,child_gender,parent_a_gender,parent_a_education,parent_a_education_other_description,parent_b_gender,parent_b_education,parent_b_education_other_description,highest_edu,edu_years,age_years,study_lang_dom,vocab_dom,vocab_non_dom,testing_location
CompMix,S01,CompMix36_S01_F1,2016-11-04,F1,E1,CompMix,French,F1,3,9,30,9,10,NA,dominant,French,10,0,57,44,101,4,97,21,female,1,NA,NA,F,F,"École primaire
Diplôme d’études secondaires (DES)
Certificat/diplôme collégial (DEC)",NA,M,"École primaire
Diplôme d’études secondaires (DES)
Baccalauréat",NA,Bachelor,16,3.83025325119781,dom,44,57,Montreal
CompMix,S03,CompMix36_S03_E1,2016-11-06,E1,F1,LearnMix,English,E1,3,6,17,10,8,NA,dominant,English,0,0,82,44,126,13,113,14,male,1,NA,NA,M,F,Bachelor's Degree,NA,M,Certificat/diplôme collégial (DEC) Baccalauréat,NA,Bachelor,16,3.5482546201232,dom,82,44,Montreal
CompMix,S04,CompMix36_S04_F1,2016-11-10,F1,E1,LearnMix,French,F1,3,3,5,8,10,NA,dominant,French,12,0,19,45,64,1,63,14,male,1,NA,NA,M,F,Baccalauréat,NA,M,Baccalauréat,NA,Bachelor,16,3.2662559890486,dom,45,19,Montreal
CompMix,S05,CompMix36_S05_E1,2016-11-20,E1,F1,CompMix,English,E1,3,10,3,10,9,NA,dominant,English,0,10,74,51,125,7,118,11,male,1,NA,NA,F,F,Doctoral Degree,NA,M,Bachelor's Degree,NA,Doctoral,21,3.84120465434634,dom,74,51,Montreal
CompMix,S06,CompMix36_S06_E1,2016-12-04,E1,F1,LearnMix,English,E1,3,7,20,10,10,NA,both,French,0,0,86,88,174,17,157,11,female,1,NA,NA,F,M,Primary SchoolHigh SchoolSome College/University,NA,F,College Certificate/DiplomaHigh SchoolPrimary School,NA,Some college,15,3.64134154688569,non,88,86,Montreal
CompMix,S07,CompMix36_S07_E2,2017-01-17,E2,F2,LearnMix,English,E2,3,4,20,10,10,NA,both,English,0,0,86,74,160,13,147,4,male,1,NA,NA,M,F,Bachelor's DegreeMaster's Degree,NA,M,Bachelor's DegreeMaster's Degree,NA,Master,18,3.38945927446954,dom,86,74,Montreal
CompMix,S11,CompMix36_S11_E2,2017-02-18,E2,F2,CompMix,English,E2,3,10,16,10,8,6,dominant,English,0,6,96,55,151,13,138,17,female,1,NA,NA,F,F,Primary SchoolHigh SchoolSome College/UniversityOther (please specify):,"In nursing, first year",M,Primary SchoolSome High School,NA,Some college,15,3.88227241615332,dom,96,55,Montreal
CompMix,S13,CompMix36_S13_F2,2017-03-08,F2,E2,LearnMix,French,F2,3,3,25,8,10,NA,dominant,French,18,0,NA,NA,NA,NA,NA,6,male,1,NA,NA,M,F,Bachelor's DegreeBaccalauréat,NA,M,Master's DegreeMaitrise,NA,Master,18,3.32101300479124,dom,NA,NA,Montreal
CompMix,S14,CompMix36_S14_E2,2017-03-12,E2,F2,CompMix,English,E2,3,2,6,10,10,NA,both,English,0,0,102,60,162,17,145,5,male,1,NA,NA,M,F,Bachelor's Degree,NA,M,Bachelor's Degree,NA,Bachelor,16,3.17864476386037,dom,102,60,Montreal
CompMix,S17,CompMix36_S17_F2,2017-03-25,F2,E2,CompMix,French,F2,3,2,14,10,10,NA,both,English,0,0,67,19,86,1,85,4,male,1,NA,NA,M,F,Bachelor's Degree,NA,M,Master's Degree,NA,Master,18,3.20054757015743,non,67,19,Montreal
CompMix,S20,CompMix36_S20_E2,2017-04-02,E2,F2,CompMix,English,E2,3,11,29,8,10,NA,dominant,French,8,0,32,102,134,3,131,21,male,1,NA,NA,M,M,Baccalauréat,NA,F,Baccalauréat,NA,Bachelor,16,3.99452429842574,non,102,32,Montreal
CompMix,S21,CompMix36_S21_F1,2017-04-04,F1,E1,LearnMix,French,F1,3,1,9,10,10,NA,both,English,0,0,177,131,308,38,270,28,male,1,NA,NA,M,F,Primary SchoolSome High SchoolHigh SchoolSome College/UniversityCollege Certificate/Diploma,NA,M,Primary SchoolSome High SchoolHigh SchoolSome College/UniversityCollege Certificate/Diploma,NA,Some college,15,3.10198494182067,non,177,131,Montreal
CompMix,S22,CompMix36_S22_F2,2017-04-04,F2,E2,LearnMix,French,F2,3,7,0,7,9,NA,dominant,French,0,11,23,43,66,2,64,24,male,1,NA,NA,M,F,Maitrise,NA,M,Collège/université(non complété),Etudiant a L'ETS actuellement,Master,18,3.57837097878166,dom,43,23,Montreal
CompMix,S24,CompMix36_S24_F2,2017-04-08,F2,E2,LearnMix,French,F2,3,5,0,10,8,NA,dominant,English,0,9,64,27,91,6,85,12,female,1,NA,NA,F,F,Primary SchoolHigh SchoolBachelor's Degree,NA,M,Primary SchoolHigh SchoolCollege Certificate/DiplomaTrade School DiplomaBachelor's Degree,NA,Bachelor,16,3.41409993155373,non,64,27,Montreal
