study_id,trial_type,Window,pupil_baseline
S01,Mixed,1,0.04684138429110175
S01,Mixed,2,0.0341390013233403
S01,Mixed,3,0.010885909261379167
S01,Mixed,4,0.006918354269237178
S01,Mixed,5,-0.010468791463860457
S01,Mixed,6,-0.038340318572155446
S01,Mixed,7,-0.025815425973460118
S01,Mixed,8,-0.02307680366569364
S01,Mixed,9,-0.04288651241649008
S01,Mixed,10,-0.056144055315862806
S01,Single,1,0.014618461127039122
S01,Single,2,0.017819616158353306
S01,Single,3,0.057741348825437216
S01,Single,4,0.11334047734029352
S01,Single,5,0.10334861217724173
S01,Single,6,0.04543505995502112
S01,Single,7,0.010542213238188587
S01,Single,8,-0.013276046325055635
S01,Single,9,-0.005654706782084503
S01,Single,10,-0.011928484160973843
S03,Mixed,1,0.125555998774446
S03,Mixed,2,0.16029326034695754
S03,Mixed,3,0.1296059619557565
S03,Mixed,4,0.14582692368412037
S03,Mixed,5,0.17250902060399353
S03,Mixed,6,0.151352196643741
S03,Mixed,7,0.09609864058427715
S03,Mixed,8,0.01695082375902726
S03,Mixed,9,-0.06494461719624071
S03,Mixed,10,-0.14156039289989836
S03,Single,1,0.08762596527350287
S03,Single,2,0.10408810032705856
S03,Single,3,0.16119925373451258
S03,Single,4,0.23998569981668344
S03,Single,5,0.3154621393999782
S03,Single,6,0.357209894447453
S03,Single,7,0.2881997877897637
S03,Single,8,0.19165621320712015
S03,Single,9,0.19631220228900023
S03,Single,10,0.14893183154749132
S04,Mixed,1,0.01596946538634085
S04,Mixed,2,0.04447074866286002
S04,Mixed,3,0.05500013920039442
S04,Mixed,4,0.045325002994616004
S04,Mixed,5,0.0377492805300938
S04,Mixed,6,0.02271015193752354
S04,Mixed,7,0.008017244171121702
S04,Mixed,8,-0.005874781904359623
S04,Mixed,9,-0.0319421102742907
S04,Mixed,10,-0.06087659605280534
S04,Single,1,0.06124333014630014
S04,Single,2,0.09695321691651963
S04,Single,3,0.1331726460803183
S04,Single,4,0.1918219577884769
S04,Single,5,0.19994505301744359
S04,Single,6,0.19416756924413417
S04,Single,7,0.14243949774551456
S04,Single,8,0.11035892880378535
S04,Single,9,0.06029989895719985
S04,Single,10,0.03425645592834636
S05,Mixed,1,0.0994748608074484
S05,Mixed,2,0.13261488106132874
S05,Mixed,3,0.14274124318542208
S05,Mixed,4,0.13401414958009195
S05,Mixed,5,0.11537226477897668
S05,Mixed,6,0.10430134907097616
S05,Mixed,7,0.10269695530526048
S05,Mixed,8,0.08140985253986996
S05,Mixed,9,0.06623560023562676
S05,Mixed,10,0.057895808008707327
S05,Single,1,0.09387297667375082
S05,Single,2,0.10102705071146438
S05,Single,3,0.09983804366378221
S05,Single,4,0.12381700545592603
S05,Single,5,0.12931897420464644
S05,Single,6,0.11416859942932019
S05,Single,7,0.08704353173929984
S05,Single,8,0.08110862618707075
S05,Single,9,0.04650613108613369
S05,Single,10,0.05718495151222532
S06,Mixed,1,0.15405550344598348
S06,Mixed,2,0.15858647763457104
S06,Mixed,3,0.19256690354406128
S06,Mixed,4,0.2099826615105424
S06,Mixed,5,0.19578645044152326
S06,Mixed,6,0.12976581510652377
S06,Mixed,7,0.07461725902446087
S06,Mixed,8,0.0272795609803399
S06,Mixed,9,-0.02647733780937019
