Mixed_1,Mixed_2,Mixed_3,Mixed_4,Mixed_5,Mixed_6,Mixed_7,Single_1,Single_2,Single_3,Single_4,Single_5,Single_6,Mixed_8,Single_7,Single_8
1,1,1,0.4,0.9347826086956522,1,1,0.775,0.4,0.8666666666666667,0.8974358974358975,1,1,NA,NA,NA
0.1951219512195122,0.29545454545454547,1,0.8260869565217391,0.7272727272727273,1,1,0.45652173913043476,0.18181818181818182,0.37777777777777777,0.7317073170731707,1,NA,0.7446808510638298,NA,NA
0.717391304347826,0.6,0.6363636363636364,0.5238095238095238,0.5333333333333333,0.8529411764705882,0.9111111111111111,0.5681818181818182,0.4523809523809524,0,1,1,1,NA,NA,NA
1,0.8723404255319149,NA,0.4666666666666667,1,0.29545454545454547,0.5405405405405406,1,0.1111111111111111,0.43478260869565216,1,0.9347826086956522,0.3333333333333333,NA,0.7272727272727273,1
0.8913043478260869,1,NA,0.717391304347826,1,0,NA,0.9130434782608695,0.7272727272727273,NA,0.6086956521739131,NA,NA,NA,NA,NA
0,NA,1,1,1,NA,NA,1,0.40425531914893614,0,NA,NA,NA,NA,NA,NA
0.5869565217391305,1,0.8863636363636364,1,0.8043478260869565,0.75,0.8863636363636364,0.4782608695652174,0.5,0.37037037037037035,0.021739130434782608,0.18181818181818182,1,0.7333333333333333,0.782608695652174,0.9777777777777777
0.8,0.9782608695652174,0.9032258064516129,1,0.2894736842105263,0.3617021276595745,1,0.4444444444444444,0.9130434782608695,0.5531914893617021,0.65625,0.5555555555555556,0.5106382978723404,NA,NA,NA
0.15217391304347827,0.9347826086956522,0.43478260869565216,0.4318181818181818,0.4,0.8636363636363636,NA,1,0.6739130434782609,0.043478260869565216,0.8260869565217391,1,1,NA,0.8260869565217391,NA
1,0.8936170212765957,0.5116279069767442,NA,1,0.9777777777777777,1,1,0.5,0.6818181818181818,0.9534883720930233,NA,1,NA,NA,0
0.9130434782608695,1,1,NA,1,0.9565217391304348,1,0.7692307692307693,1,0.967741935483871,1,NA,1,1,0.6666666666666666,0.8064516129032258
